,F12E5,F5B2,F5B1
0,F10A3,F10B5,F10C1
1,F10A5,F10C3,F10F1
2,F10B3,F10C4,F10F3
3,F10D5,F10D1,F11C2
4,F11A3,F10E3,F12B1
5,F11A6,F10E5,F12B2
6,F11B2,F10F5,F12E1
7,F11B5,F10G2,F12F1
8,F11D1,F11B1,F15F1
9,F11D2,F11D4,F15F8
10,F11G3,F11G4,F18C4
11,F12B3,F12C6,F7A6
12,F12D4,F12E5,F7B6
13,F12E4,F12E6,F7F2
14,F15A3,F12F5,F7F3
15,F15A6,F12G1,F7F6
16,F15B5,F15A5,F9D6
17,F15C6,F15C5,
18,F15C8,F15E2,
19,F15D1,F15E4,
20,F15D2,F15E5,
21,F15E1,F15F5,
22,F15E7,F15H5,
23,F15F3,F16A2,
24,F15F6,F16B6,
25,F15H1,F16D6,
26,F16A4,F16F4,
27,F16A5,F16G3,
28,F16B1,F16G6,
29,F16B2,F17B1,
30,F16B3,F17D6,
31,F16C1,F17E6,
32,F16G4,F18B2,
33,F17A7,F18B4,
34,F17B7,F18F2,
35,F17C1,F3F1,
36,F17C2,F5B3,
37,F17C7,F5C4,
38,F17E7,F6D2,
39,F17F3,F6E4,
40,F17F5,F6F4,
41,F17G3,F6G2,
42,F17G5,F6G3,
43,F18D2,F7B1,
44,F18E1,F7B2,
45,F18E2,F7C1,
46,F5A2,F7D2,
47,F5A4,F7E2,
48,F5B1,F8B4,
49,F5B2,F8C5,
50,F5B4,F9A2,
51,F5C1,F9C5,
52,F5C2,F9D3,
53,F5D1,F9F2,
54,F5E2,,
55,F5E4,,
56,F5F2,,
57,F5G2,,
58,F6A4,,
59,F6B2,,
60,F6B4,,
61,F6C2,,
62,F6C4,,
63,F6E2,,
64,F6F2,,
65,F7A3,,
66,F7B4,,
67,F7B5,,
68,F7C2,,
69,F7C6,,
70,F7D3,,
71,F7D4,,
72,F7D6,,
73,F7E6,,
74,F7G2,,
75,F7G5,,
76,F8A1,,
77,F8A2,,
78,F8B2,,
79,F8B5,,
80,F8D3,,
81,F8D4,,
82,F8E6,,
83,F8G1,,
84,F8G2,,
85,F9A3,,
86,F9A4,,
87,F9A5,,
88,F9B4,,
89,F9B6,,
90,F9F3,,
91,F9G3,,
